,Unnamed: 0,Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star color,BV,log_lum,log_temp,log_temp_s,log_lum_s,cluster
188,138,3780,200000.0,1324.0,-10.7,red,1.50901306472498,5.301029995663981,3.577491799837225,0.22055376229021073,0.9371888893286809,Super giant
189,139,3500,138000.0,1420.0,-8.18,red,1.7121546094562645,5.139879086401237,3.5440680443502757,0.19512644502543308,0.9210733206672225,Super giant
190,144,8829,537493.0,1423.0,-10.73,white,0.12106309067050536,5.730372812622677,3.9459115168192733,0.5008312144741818,0.9801244438201594,Super giant
191,145,3570,320000.0,1480.0,-7.58,red,1.6582712131116666,5.505149978319906,3.552668216112193,0.20166907593976102,0.9576014927121591,Super giant
192,151,24630,363000.0,63.0,-5.83,blue,-0.43679443351985503,5.559906625036112,4.391464411839103,0.8397881825005027,0.9630773197109848,Super giant
193,152,18734,224780.0,46.0,-7.45,blue,-0.3491879062129891,5.351757666879034,4.27263051589404,0.7493846018740067,0.9422618068334105,Super giant
194,153,8927,239000.0,35.0,-7.34,blue,0.11054175994354509,5.378397900948138,3.9507055347738613,0.5044782916421546,0.9449259092158426,Super giant
195,154,12893,184000.0,36.0,-6.34,blue,-0.16956205783342831,5.264817823009537,4.1103539826640025,0.6259317811196312,0.9335675647115061,Super giant
196,157,13023,998.0,6.21,-1.38,blue white,-0.17555987319941607,2.999130541287371,4.114711040558363,0.6292464383688494,0.7069921198627567,Giant
197,159,34190,198200.0,6.39,-4.57,blue,-0.5097275183460769,5.297103650149256,4.533899100796595,0.9481462042986881,0.9367962431374764,Super giant
198,160,28700,16790.0,6.4,-4.09,blue white,-0.4743879227763305,4.225050696138049,4.457881896733992,0.8903156721780272,0.8295877696133305,Super giant
199,162,11567,251000.0,36.0,-6.245,blue,-0.09965386015505524,5.399673721481038,4.063220735581995,0.5900748880262947,0.9470535543417401,Super giant
200,164,3625,74000.0,876.0,-10.25,red,1.6174454446331208,4.869231719730976,3.5593080109070123,0.20672033862287886,0.894007781660513,Super giant
201,169,4287,630000.0,1315.0,-9.2,light orangish red,1.211131996177395,5.799340549453582,3.6321534835106326,0.2621379575052982,0.9870214219595238,Super giant
202,172,39000,204000.0,10.6,-4.7,blue,-0.5318695358103709,5.309630167425898,4.5910646070264995,0.9916351971521986,0.9380489320002587,Super giant
203,173,3575,123000.0,45.0,-6.78,red,1.6545059861773248,5.089905111439398,3.5532760461370994,0.2021314861824517,0.9160757750221623,Super giant
204,174,3574,200000.0,89.0,-5.24,red,1.655258158522702,5.301029995663981,3.5531545481696254,0.20203905589384474,0.9371888893286809,Super giant
205,180,3600,240000.0,1190.0,-7.89,red,1.6358423584110222,5.380211241711606,3.5563025007672873,0.20443387922440914,0.9451072486678754,Super giant
206,193,3660,363000.0,1673.0,-11.92,red,1.5921273832971385,5.559906625036112,3.5634810853944106,0.20989502942032878,0.9630773197109848,Super giant
207,200,33300,240000.0,12.0,-6.5,blue,-0.504862149696749,5.380211241711606,4.52244423350632,0.9394318470826217,0.9451072486678754,Super giant
208,201,24345,142000.0,57.0,-6.24,blue,-0.433637069013285,5.152288344383057,4.386409778881913,0.8359428409466592,0.9223142832529049,Super giant
209,202,3826,200000.0,19.0,-6.93,red,1.4785875971051374,5.301029995663981,3.582744965691277,0.22455013890526931,0.9371888893286809,Super giant
210,203,3752,209000.0,955.0,-11.24,red,1.5279126962134342,5.320146286111054,3.5742628297070267,0.21809730439842445,0.9391005750440243,Super giant
211,204,23678,244290.0,35.0,-6.27,blue,-0.42591686639528137,5.3879056895124995,4.374345016224609,0.8267645022668151,0.9458767162583135,Super giant
212,205,26140,14520.0,5.49,-3.8,blue white,-0.45225470128532136,4.161966616364075,4.417305583244525,0.8594470046240588,0.8232791746218815,Super giant
213,207,38940,374830.0,1356.0,-9.93,blue,-0.5316298081410742,5.573834342922927,4.590395947184013,0.9911265102703859,0.9644701327886723,Super giant
214,210,9235,404940.0,1112.0,-11.23,white,0.07908008308443602,5.607390678525032,3.96543689977626,0.5156852636356368,0.9678258658273297,Super giant
215,214,25070,14500.0,5.92,-3.98,blue white,-0.4415127689128455,4.161368002234975,4.399154333958217,0.84563833568094,0.8232193114343676,Super giant
216,216,32460,173800.0,6.237,-4.36,blue,-0.5000019193612022,5.2400497721126476,4.511348515490213,0.9309907147752057,0.931090686196421,Super giant
217,218,3490,270000.0,1520.0,-9.4,red,1.7200349216258382,5.431363764158987,3.5428254269591797,0.19418111658517212,0.9502226525553181,Super giant
218,219,23440,537430.0,81.0,-5.975,light orange,-0.42304368332706016,5.730321905623029,4.369957607346053,0.8234267553290446,0.9801193529692798,Super giant
219,221,17383,342900.0,30.0,-6.09,blue,-0.319586135472975,5.535167485114944,4.240124730168566,0.7246556354685039,0.9606033323791789,Super giant
220,222,3615,200000.0,1635.0,-11.33,red,1.624772560490307,5.301029995663981,3.5581083016305497,0.20580765278151603,0.9371888893286809,Super giant
221,223,37882,294903.0,1783.0,-7.8,blue,-0.5272670914031836,5.469679190581024,4.578432899740808,0.9820255520339387,0.9540543087843912,Super giant
222,224,23000,127000.0,36.0,-5.76,blue,-0.41755738917878416,5.103803720955957,4.361727836017593,0.8171659087085317,0.9174656771765319,Super giant
223,227,24490,248490.0,1134.5,-8.24,blue white,-0.4352536433208423,5.395308916078588,4.388988785124714,0.8379048350136977,0.9466170608619398,Super giant
224,229,9892,593900.0,80.0,-7.262,blue,0.01919039548667043,5.773713325277021,3.9952841076892596,0.5383917014375754,0.9844586235694347,Super giant
225,231,11250,672.0,6.98,-2.3,blue white,-0.08018547051657215,2.8273692730538253,4.051152522447381,0.5808939243756783,0.6898154838495908,Giant
226,232,18000,200000.0,1045.0,-8.3,blue,-0.33372405476477635,5.301029995663981,4.2552725051033065,0.7361793937508874,0.9371888893286809,Super giant
227,235,8945,38.0,2.487,0.12,blue white,0.10863698988845658,1.5797835966168101,3.951580344903392,0.5051438085592674,0.5650532177124992,Giant
